company,location,industry
SanDisk,"Milpitas, CA",Semiconductors and Other Electronic Components
Rockwell Automation,"Milwaukee, WI","Electronics, Electrical Equip."
Dana Holding,"Maumee, OH",Motor Vehicles and Parts
Lansing Trade Group,"Overland Park, KS",Wholesalers: Diversified
NCR,"Duluth, GA","Computers, Office Equipment"
Expeditors International of Washington,"Seattle, WA",Transportation and Logistics
Omnicare,"Cincinnati, OH",Health Care: Pharmacy and Other Services
AK Steel Holding,"West Chester, OH",Metals
Fifth Third Bancorp,"Cincinnati, OH",Commercial Banks
Seaboard,"Shawnee Mission, KS",Food Production
NiSource,"Merrillville, IN",Utilities: Gas and Electric
Cablevision Systems,"Bethpage, NY",Telecommunications
Anixter International,"Glenview, IL",Wholesalers: Diversified
EMCOR Group,"Norwalk, CT","Engineering, Construction"
Fidelity National Information Services,"Jacksonville, FL",Financial Data Services
Barnes & Noble,"New York, NY",Specialty Retailers: Other
KBR,"Houston, TX","Engineering, Construction"
Auto-Owners Insurance,"Lansing, MI",Insurance: Property and Casualty (Mutual)
Jones Financial,"Des Peres, MO",Securities
Avery Dennison,"Glendale, CA",Chemicals
NetApp,"Sunnyvale, CA",Computer Peripherals
iHeartMedia,"San Antonio, TX",Entertainment
Discovery Communications,"Silver Spring, MD",Entertainment
Harley-Davidson,"Milwaukee, WI",Transportation Equipment
Sanmina,"San Jose, CA",Semiconductors and Other Electronic Components
Trinity Industries,"Dallas, TX",Transportation Equipment
J.B. Hunt Transport Services,"Lowell, AR","Trucking, Truck Leasing"
Charles Schwab,"San Francisco, CA",Securities
Erie Insurance Group,"Erie, PA",Insurance: Property and Casualty (Stock)
Dr Pepper Snapple Group,"Plano, TX",Beverages
Ameren,"St. Louis, MO",Utilities: Gas and Electric
Mattel,"El Segundo, CA","Toys, Sporting Goods"
Laboratory Corp. of America,"Burlington, NC",Health Care: Pharmacy and Other Services
Gannett,"McLean, VA","Publishing, Printing"
Starwood Hotels & Resorts,"Stamford, CT","Hotels, Casinos, Resorts"
General Cable,"Highland Heights, KY","Electronics, Electrical Equip."
A-Mark Precious Metals,"Santa Monica, CA",zMiscellaneous
Graybar Electric,"St. Louis, MO",Wholesalers: Diversified
Energy Future Holdings,"Dallas, TX",Energy
HRG Group,"New York, NY",Household and Personal Products
MRC Global,"Houston, TX","Oil and Gas Equipment, Services"
Spectra Energy,"Houston, TX",Pipelines
Asbury Automotive Group,"Duluth, GA","Automotive Retailing, Services"
Packaging Corp. of America,"Lake Forest, IL","Packaging, Containers"
Windstream Holdings,"Little Rock, AR",Telecommunications
PulteGroup,"Atlanta, GA",Homebuilders
JetBlue Airways,"Long Island City, NY",Airlines
Newell Rubbermaid,"Atlanta, GA","Home Equipment, Furnishings"
Con-way,"Ann Arbor, MI",Transportation and Logistics
Calumet Specialty Products Partners,"Indianapolis, IN",Petroleum Refining
Expedia,"Bellevue, WA",Internet Services and Retailing
American Financial Group,"Cincinnati, OH",Insurance: Property and Casualty (Stock)
Tractor Supply,"Brentwood, TN",Specialty Retailers: Other
United Rentals,"Stamford, CT",zMiscellaneous
Ingredion,"Westchester, IL",Food Production
Navient,"Wilmington, DE",Diversified Financials
MeadWestvaco,"Richmond, VA","Packaging, Containers"
AGL Resources,"Atlanta, GA",Utilities: Gas and Electric
St. Jude Medical,"St. Paul, MN",Medical Products and Equipment
J.M. Smucker,"Orrville, OH",Food Consumer Products
Western Union,"Englewood, CO",Financial Data Services
Clorox,"Oakland, CA",Household and Personal Products
Domtar,"Fort Mill, SC",Forest and Paper Products
Kelly Services,"Troy, MI",Temporary Help
Old Republic International,"Chicago, IL",Insurance: Property and Casualty (Stock)
Advanced Micro Devices,"Sunnyvale, CA",Semiconductors and Other Electronic Components
Netflix,"Los Gatos, CA",Specialty Retailers: Other
Booz Allen Hamilton Holding,"McLean, VA",Information Technology Services
Quintiles Transnational Holdings,"Durham, NC",Health Care: Pharmacy and Other Services
Wynn Resorts,"Las Vegas, NV","Hotels, Casinos, Resorts"
Jones Lang LaSalle,"Chicago, IL",Real estate
Regions Financial,"Birmingham, AL",Commercial Banks
CH2M Hill,"Englewood, CO","Engineering, Construction"
Western & Southern Financial Group,"Cincinnati, OH","Insurance: Life, Health (Mutual)"
Lithia Motors,"Medford, OR","Automotive Retailing, Services"
salesforce.com,"San Francisco, CA",Computer Software
Alaska Air Group,"Seattle, WA",Airlines
Host Hotels & Resorts,"Bethesda, MD",Real estate
Harman International Industries,"Stamford, CT","Electronics, Electrical Equip."
Amphenol,"Wallingford, CT",Network and Other Communications Equipment
